SIGLA;CÓDIGO;DISCIPLINA;
ESTA012-13;EN2714;Acionamentos Elétricos;
ESZE002-13;EN3448;Acumuladores de Energia;
ESHP001-13;BH1304;Administração Municipal e Desenvolvimento Local;
ESHP002-13;BH1105;Administração Pública e Reforma do Estado em Perspectiva Comparada;
ESZS020-13;EN3219;Aeroacústica;
ESTS016-13;EN2213;Aerodinâmica I;
ESZS019-13;EN3218;Aerodinâmica II;
ESTS012-13;EN2210;Aeroelasticidade;
ESTX013-13;EN2208;Aeronautica I-A;
ESTS002-13;EN2220;Aeronáutica I-A;
ESZX003-13;EN3203;Aeronáutica I-B;
ESZS001-13;EN3229;Aeronáutica I-B;
ESZX004-13;EN3204;Aeronáutica II;
ESZS002-13;EN3230;Aeronáutica II;
MCTB001-13;BC1425;Álgebra Linear;
MCTB002-13;MC1301;Álgebra Linear Avançada I;
MCTB003-13;MC1101;Álgebra Linear Avançada II;
MCTA001-13;BC1424;Algoritmos e Estruturas de Dados I;
MCTA002-13;MC3305;Algoritmos e Estruturas de Dados II;
MCZB001-13;MC2105;Análise Complexa;
ESHR001-13;BH1150;Analise da Conjuntura Internacional Contemporânea;
ESZT001-13;CS4101;Análise da Produção do Espaço e Políticas Públicas Urbanas;
MCTA003-13;BC1435;Análise de Algoritmos;
ESZX058-13;EN3534;Análise de Balanço;
MCZA001-13;MC7103;Análise de Projeto;
ESZG001-13;EN3528;Análise de Redes de Transporte e Distribuição;
ESZE004-13;EN3450;Análise de Redes de Transporte e Distribuição de Energia;
MCZB002-13;MC2302;Análise de Regressão;
ESZC001-13;CS3202;Análise de Séries Temporais – Tópicos Especiais;
ESTA005-13;EN2706;Análise de Sistemas Dinâmicos Lineares;
ESTU001-13;EN2135;Análise de Sistemas e Modelagem Ambiental;
ESZX084-13;EN4109;Análise de Sistemas e Modelagem Ambiental;
ESTB014-13;EN2325;Análise e Controle de Sistemas Mecânicos;
ESZX023-13;EN3316;Análise e Controle de Sistemas Mecânicos;
ESHC001-13;BH1116;Análise Econômica de Projetos;
ESTX049-13;EN2421;Análise Econômica de Projetos Energéticos;
ESTE005-13;EN2423;Análise Econômica de Projetos Energéticos;
ESZE012-13;EN3461;Análise Estática em Sistemas Elétricos de Potência;
ESZS016-13;EN3235;Análise Experimental de Estruturas;
MCZB003-13;MC2303;Análise Multivariada;
MCTB004-13;MC1306;Análise no Rn I;
MCZB004-13;MC2102;Análise no Rn II;
MCZB005-13;MC2208;Análise Numérica;
NHT4001-09;NH3903;Análise Química Instrumental;
MCTB005-13;BC1421;Análise Real I;
MCTB006-13;MC1201;Análise Real II;
MCTB007-13;MC1305;Anéis e Corpos;
NHZ2001-11;NH5130;Antropologia Filosófica;
ESZX009-13;EN3214;Aplicações de Elementos Finitos para Engenharia;
ESZS012-13;EN3233;Aplicações de Elementos Finitos para Engenharia;
ESZX020-13;EN3310;Aplicações de Lasers em Ciências da Vida e Saúde Humana;
ESZI025-13;EN3630;Aplicações de Microcontroladores;
ESZI021-13;EN3626;Aplicações Multimídia em Voz, Áudio e Acústica;
MCZA002-13;MC5004;Aprendizado de Máquina;
MCTA004-13;BC1503;Arquitetura de Computadores;
MCZA003-13;MC4003;Arquitetura de Computadores de Alto Desempenho;
ESHT001-13;BH1343;Arranjos Institucionais e Marco Regulatório do Território;
ESZP011-13;CS4103;Arte, Ciência, Tecnologia e Política;
ESZX133-13;EN3303;Aspectos Humanísticos no Uso de Tecnologia na Saúde;
NHZ1001-09;NH1002;Astrobiologia;
MCZC005-13;MC8400;Atenção e Estados de Consciência;
ESZX029-13;EN3405;Automação de Sistemas Elétricos de Potência;
ESZE010-13;EN3459;Automação de Sistemas Elétricos de Potência;
ESTX077-13;EN2713;Automação de Sistemas Industriais;
ESTA011-13;EN2721;Automação de Sistemas Industriais;
ESZG028-13;EN3555;Automação em Sistemas de Manufatura;
ESZX111-13;EN3504;Automação em Sistemas Industriais;
MCZA004-13;MC6004;Avaliação de Desempenho de Redes;
ESTX004-13;EN2125;Avaliação de Impactos Ambientais;
ESTU002-13;EN2132;Avaliação de Impactos Ambientais;
ESHP003-13;BH1122;Avaliação e Monitoramento de Políticas Públicas;
ESZS004-13;EN3234;Aviônica;
MCTA005-13;MC3310;Banco de Dados;
MCZA005-13;MC5005;Banco de Dados de Apoio à Tomada de Decisão;
BCS0001-13;BC0001;Base Experimental das Ciências Naturais;
ESTB002-13;EN2319;Bases Biológicas para Engenharia I;
ESTB004-13;EN2320;Bases Biológicas para Engenharia II;
BIM0005-13;BC0005;Bases Computacionais da Ciência;
BIR0004-13;BC0004;Bases Epistemológicas da Ciência Moderna;
BIN0003-13;BC0003;Bases Matemáticas;
MCZC002-13;MC8000;Bases Neurais da Motricidade;
ESZX013-13;EN3301;Bioestatística;
ESZB001-13;EN3339;Bioestatística;
NHT1002-13;BC1604;Bioética;
NHZ1003-09;BC1308;Biofísica;
NHT1004-13;NH1703;Biologia Animal I;
NHT1005-13;NH1803;Biologia Animal II;
NHT1006-13;NH1903;Biologia Animal III;
NHT1007-13;BC1307;Biologia Celular;
NHT1052-08;BC1603;Biologia Celular e Biofísica;
NHZ1008-09;NH1003;Biologia do Desenvolvimento;
NHZ1009-09;BC1320;Biologia Molecular e Biotecnologia;
NHT1010-13;NH1702;Biologia Vegetal I;
NHT1011-13;NH1802;Biologia Vegetal II;
NHT1012-13;NH1902;Biologia Vegetal III;
ESTU023-13;BC1001;Biomas Brasileiros;
ESZX086-13;EN4111;Biomas e Gestão de Ecosistemas;
ESZM032-13;EN3830;Biomateriais;
MCZX020-13;MC2304;Biometria;
NHT4002-09;BC1318;Bioquímica;
NHT4002-13;BC1328;Bioquimica Experimental;
NHT1013-13;BC1326;Bioquímica Funcional;
ESTX034-13;EN2315;Biossegurança;
ESTB013-13;EN2324;Biossegurança;
ESZX034-13;EN3418;Biotecnologia: Produção de Combustíveis a Partir de Fontes Renováveis;
ESZM015-13;EN3814;Blendas Poliméricas e Aditivação de Polímeros;
NHZ1014-09;NH1013;Botânica Econômica;
MCTX018-13;BC1433;Cálculo Avançado;
MCTB008-13;BC1716;Cálculo de Probabilidade;
MCTB009-13;BC1419;Cálculo Numérico;
MCTB010-13;BC1418;Cálculo Vetorial e Tensorial;
ESTX036-13;EN2317;Caracterização de Biomateriais;
ESZB002-13;EN3324;Caracterização de Biomateriais;
ESTM014-13;EN2820;Caracterização de Materiais;
ESTU003-13;EN2137;Caracterização de Matrizes Ambientais;
ESTU004-13;EN2113;Cartografia e Geoprocessamento;
ESHT002-13;BH1408;Cartografia e Geoprocessamento para o Planejamento Territorial;
ESZX137-13;EN3428;Células a Combustível;
ESZE019-13;EN3409;Centrais Termoelétricas;
ESZE023-13;EN3464;Centrais Termoelétricas e Cogeração;
ESZM022-13;EN3820;Cerâmicas Especiais e Refratárias;
NHZ2002-11;NH5139;Ceticismo;
ESHP004-13;BH1107;Cidadania, Direitos e Desigualdades;
ESZU001-13;EN3121;Cidades, Globalização e Projetos Urbanos;
ESZX094-13;EN4121;Cidades, Globalização e Projetos Urbanos;
ESTM004-13;EN2810;Ciência dos Materiais;
NHZ3001-09;BC1621;Ciência na Antiguidade e Período Medieval;
ESZP012-13;CS4104;Ciência, Saúde, Educação e a Formação da Nacionalidade;
BIR0603-13;BC0603;Ciência, Tecnologia e Sociedade;
ESZU022-13;BC1106;Ciências Atmosféricas;
ESTB005-13;EN2321;Ciências dos Materiais Biocompatíveis;
ESZS009-13;EN3211;Cinemática e Dinâmica de Mecanismos;
MCTA006-13;BC1517;Circuitos Digitais;
ESTO001-13;BC1519;Circuitos Elétricos e Fotônica;
ESTA002-13;EN2703;Circuitos Elétricos I;
ESTA004-13;EN2705;Circuitos Elétricos II;
ESZA008-13;EN3707;Circuitos Hidráulicos e Pneumáticos;
NHZ1015-09;NH1004;Citogenética Básica;
ESZG017-13;EN3513;Clima e Cultura Organizacional;
ESZU024-13;EN4124;Clima Urbano;
ESTU005-13;EN2127;Climatologia;
ESZX033-13;EN3413;Cogeração;
ESTS015-13;EN2214;Combustão I;
ESZS024-13;EN3221;Combustão II;
MCTA007-13;MC3201;Compiladores;
ESZU002-13;EN3117;Compostagem;
MCZA006-13;BC1506;Computação Evolutiva e Conexionista;
MCTA008-13;BC1515;Computação Gráfica;
MCTA009-13;MC3307;Computadores, Ética e Sociedade;
ESTI007-13;EN2611;Comunicação Digital;
BCM0506-13;BC0506;Comunicação e Redes;
ESZX124-13;BC1620;Comunicação, Ciência e Tecnologia;
ESTI015-13;EN2620;Comunicações Móveis;
ESTX071-13;EN2616;Comunicações Multimídia;
ESTI012-13;EN2621;Comunicações Multimídia;
ESTI010-13;EN2614;Comunicações Ópticas;
MCZB006-13;MC2403;Conexões e Fibrados;
ESZA007-13;EN3722;Confiabilidade de Componentes e Sistemas;
ESZX047-13;EN3510;Confiabilidade Industrial;
ESZG002-13;EN3538;Confiabilidade Industrial em Sistemas de Gestão;
ESZR001-13;CS3306;Conflitos no Ciberespaço: Ativismo e Guerra nas Redes Cibernéticas;
ESHP005-13;BH1300;Conflitos Sociais;
BHP0204-13;BH0204;Conhecimento e Ética;
ESZC002-13;BH1419;Conhecimento na Economia: Abordagens e Interfaces com as Atividades de CT&I;
NHZ1016-09;BC1327;Conservação da Biodiversidade;
ESHC002-13;BH1129;Contabilidade Básica;
ESZG023-13;EN3540;Contabilidade para Engenharia;
ESZU003-13;EN3125;Contaminação e Remediação de Solos;
ESZX077-13;EN4101;Contaminação e Remediação de Solos;
ESZA021-13;EN3705;Controle Avançado de Robôs;
ESZA004-13;EN3711;Controle Discreto;
ESZA003-13;EN3710;Controle Não-Linear;
ESZA002-13;EN3709;Controle Robusto Multivariável;
NHZ4003-09;NH3202;Cosméticos e Produtos de Higiene Pessoal - Alguns Conceitos e Aplicações;
ESZX123-13;BC1619;Cultura, Democracia e Cidadania;
ESZR002-13;CS3305;Cultura, Identidade e Política na América Latina;
ESTX064-13;EN2525;Custos;
ESTG001-13;EN2532;Custos;
ESZR003-13;CS3307;De Mercosul , Unasul à Celac ;
ESHT003-13;BH1344;Demografia;
ESZR004-13;CS3308;Desafios do Pré-Sal e a Inserção Internacional do Brasil;
ESTS004-13;EN2226;Desempenho de Aeronaves;
ESZX007-13;EN3209;Desempenho de Aeronaves;
NHZ4004-09;NH3907;Desenho e Projeto em Química;
ESZU004-13;EN3113;Desenho Técnico Aplicado ao Planejamento Urbano-Ambiental;
NHI5001-13;BC1626;Desenvolvimento e Aprendizagem;
MCZC004-13;MC8002;Desenvolvimento e Degeneração do Sistema Nervoso;
BHO0102-13;BH0102;Desenvolvimento e Sustentabilidade;
ESHT004-13;BH1345;Desenvolvimento Econômico e Social no Brasil;
ESZT002-13;CS3401;Desenvolvimento Humano e Pobreza Urbana;
ESTG002-13;EN2520;Desenvolvimento Integrado do Produto;
ESHC003-13;BH1140;Desenvolvimento Socioeconômico;
ESZM006-13;EN3806;Design de Dispositivos;
ESZP001-13;BH1313;Desigualdades Regionais e Formação Sócio-Espacial do Brasil;
ESZM009-13;EN3809;Diagramas de Fase;
NHI5002-13;BC1627;Didática;
ESZS027-13;EN3224;Dinâmica de Fluidos Computacional;
ESZR005-13;CS3303;Dinâmica dos Investimentos Produtivos Internacionais;
ESTS005-13;EN2219;Dinâmica e Controle de Veículos Espaciais;
