ENGENHARIA AEROESPACIAL;DAEN2213SA;EN2213;1;Aerodinâmica I;Aerodinâmica I A-diurno (Santo André);4;0;5 ;4 ;0 ;Manter;¬0¬;0;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SA;D;terca das 10:00 às 12:00, sala S - 307-1, semanal , quinta das 08:00 às 10:00, sala S - 307-1, semanal ;0;;;;;;;;;
ENGENHARIA AEROESPACIAL;NAEN2210SA;EN2210;1;Aeroelasticidade;Aeroelasticidade A-Noturno (Santo André);4;0;5 ;4 ;0 ;Ampliar vagas - procurar nova sala;Informar o novo número de vagas;68;ok - nova sala S302-1;68;SA;N;terca das 21:00 às 23:00, sala S - 307-1, semanal , quinta das 19:00 às 21:00, sala S - 307-1, semanal ;0;;;;;;;;;
ENGENHARIA AEROESPACIAL;DAEN2220SB;EN2220;1;Aeronáutica I-A;Aeronáutica I-A A-diurno (São Bernardo do Campo);4;0;4 ;4 ;0 ;Manter;¬0¬;0;OK - MANTIDA COM ORIGINALMENTE OFERTADA;60;SB;D;terca das 08:00 às 10:00, sala A2-S305-SB, semanal , quinta das 10:00 às 12:00, sala A2-S305-SB, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;DABC1425SA;BC1425;5;Álgebra Linear;Álgebra Linear A-diurno (Santo André);6;0;5 ;6 ;0 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;93;SA;D;segunda das 08:00 às 10:00, sala A - 106-0, semanal , quarta das 10:00 às 12:00, sala A - 106-0, semanal , sexta das 08:00 às 10:00, sala A - 106-0, semanal ;0;;;;;;;;;
BACHARELADO EM CIÊNCIAS ECONÔMICAS;DABC1425SB;BC1425;5;Álgebra Linear;Álgebra Linear A-diurno (São Bernardo do Campo);6;0;5 ;6 ;0 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;90;SB;D;segunda das 08:00 às 10:00, sala A1-S205-SB, semanal , quarta das 10:00 às 12:00, sala A1-S205-SB, semanal , sexta das 08:00 às 10:00, sala A1-S205-SB, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;NABC1425SA;BC1425;5;Álgebra Linear;Álgebra Linear A-Noturno (Santo André);6;0;5 ;6 ;0 ;ampliar vagas - procurar nova sala;127;;OK - AMPLIADO 127 / NOVA SALA 211-0;127;SA;N;segunda das 19:00 às 21:00, sala A - 114-0, semanal , quarta das 21:00 às 23:00, sala A - 114-0, semanal , sexta das 19:00 às 21:00, sala A - 114-0, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;NAMC1301SA;MC1301;2;Álgebra Linear Avançada I;Álgebra Linear Avançada I A-Noturno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SA;N;terca das 21:00 às 23:00, sala S - 304-2, semanal , sexta das 19:00 às 21:00, sala S - 304-2, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;DBBC1425SA;;0;Álgebra Linear;Álgebra Linear B-diurno (Santo André);6;0;5 ;0 ;0 ;cancelar;¬0¬;;OK - TURMA CANCELADA;0;SA;D;segunda das 10:00 às 12:00, sala A - 106-0, semanal , quarta das 08:00 às 10:00, sala A - 106-0, semanal , sexta das 10:00 às 12:00, sala A - 106-0, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;NBBC1425SA;BC1425;5;Álgebra Linear;Álgebra Linear B-Noturno (Santo André);6;0;5 ;6 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;86;SA;N;segunda das 21:00 às 23:00, sala A - 114-0, semanal , quarta das 19:00 às 21:00, sala A - 114-0, semanal , sexta das 21:00 às 23:00, sala A - 114-0, semanal ;0;;;;;;;;;
BACHARELADO EM CIÊNCIAS ECONÔMICAS;NABC1425SB;BC1425;5;Álgebra Linear;Álgebra Linear A-Noturno (São Bernardo do Campo);6;0;5 ;6 ;0 ;Manter;¬0¬;;AGUARDANDO DOCENTE SOBRE A POSSIBILIDADE DE ABERTURA DE MAIS UMA TURMA;90;SB;N;segunda das 19:00 às 21:00, sala A1-S205-SB, semanal , quarta das 21:00 às 23:00, sala A1-S205-SB, semanal , sexta das 19:00 às 21:00, sala A1-S205-SB, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;DAMC1301SA;MC1301;2;Álgebra Linear Avançada I;Álgebra Linear Avançada I A-diurno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;70;SA;D;terca das 10:00 às 12:00, sala S - 302-2, semanal , sexta das 08:00 às 10:00, sala S - 302-2, semanal ;0;;;;;;;;;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMC3305SA;MC3305;2;Algoritmos e Estruturas de Dados II;Algoritmos e Estruturas de Dados II A-diurno (Santo André);2;2;4 ;2 ;2 ;Ampliar vagas para 48 – Reservar L407-2;#N/D;;AMPLIADO - NOVO LAB 407-2;48;SA;D;terca das 08:00 às 10:00, sala S - 301-3, semanal ;quinta das 10:00 às 12:00, sala 409-2, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMC3305SA;MC3305;2;Algoritmos e Estruturas de Dados II;Algoritmos e Estruturas de Dados II A-Noturno (Santo André);2;2;4 ;2 ;2 ;Ampliar vagas para 53 – Reservar L407-2 (overbooking no Lab);#N/D;;AMPLIADO - NOVO LAB 407-2;53;SA;N;terca das 19:00 às 21:00, sala S - 301-3, semanal ;quinta das 21:00 às 23:00, sala 409-2, semanal ;;;;;;;;;
ENGENHARIA DE GESTÃO;NAEN3528SB;EN3528;1;Análise de Redes de Transporte e Distribuição;Análise de Redes de Transporte e Distribuição A-Noturno (São Bernardo do Campo);4;0;5 ;4 ;0 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;63;SB;N;quarta das 19:00 às 23:00, sala A2-S202-SB, semanal ;0;;;;;;;;;
ENGENHARIA DE INSTRUMENTAÇÃO, AUTOMAÇÃO E ROBÓTICA;NAEN2706SA;EN2706;1;Análise de sistemas Dinâmincos Lineares;Análise de sistemas Dinâmincos Lineares A-noturno (Santo André);3;0;4 ;3 ;0 ;;;;turma nova - Disponível somente na segunda etapa;70;SA;N;quinta  das 17:00 às 20:00;;;;;;;;;;
BACHARELADO EM MATEMÁTICA;DABC1421SA;BC1421;2;Análise Real I;Análise Real I A-diurno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;70;SA;D;segunda das 10:00 às 12:00, sala S - 302-2, semanal , quinta das 08:00 às 10:00, sala S - 302-2, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;NABC1421SA;BC1421;2;Análise Real I;Análise Real I A-Noturno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SA;N;segunda das 21:00 às 23:00, sala S - 304-2, semanal , quinta das 19:00 às 21:00, sala S - 304-2, semanal ;0;;;;;;;;;
